Postal Code,Planning Region,Planning Area,LONGITUDE,LATITUDE
759151,NORTH REGION,MANDAI,103.8248991,1.424621475
098656,CENTRAL REGION,BUKIT MERAH,103.8146737,1.266813413
597592,CENTRAL REGION,BUKIT TIMAH,103.7766377,1.318459094
768445,NORTH REGION,YISHUN,103.8351864,1.4134582269999998
098641,CENTRAL REGION,BUKIT MERAH,103.8165873,1.266569742
545043,NORTH EAST REGION,SENGKANG,103.9004081,1.380302222
806746,NORTH EAST REGION,ANG MO KIO,103.85717,1.389690731
529234,EAST REGION,TAMPINES,103.9599689,1.355429205
018987,CENTRAL REGION,DOWNTOWN CORE,103.85265859999998,1.280769435
538683,NORTH EAST REGION,HOUGANG,103.8783601,1.374152226
239228,CENTRAL REGION,RIVER VALLEY,103.8326778,1.297599082
529870,EAST REGION,TAMPINES,103.9547363,1.3420568590000002
059108,CENTRAL REGION,OUTRAM,103.8425848,1.284128626
529774,EAST REGION,TAMPINES,103.9274583,1.347299561
659920,WEST REGION,BUKIT BATOK,103.7593549,1.352137547
528807,EAST REGION,TAMPINES,103.9596294,1.348950522
738096,NORTH REGION,WOODLANDS,103.8048651,1.443261921
588998,CENTRAL REGION,BUKIT TIMAH,103.7788151,1.339500147
328071,CENTRAL REGION,KALLANG,103.8638339,1.324379663
609781,WEST REGION,JURONG EAST,103.7328351,1.343793023
478929,EAST REGION,BEDOK,103.9355691,1.338875671
519961,EAST REGION,PASIR RIS,103.9427387,1.370247136
545084,NORTH EAST REGION,SENGKANG,103.9041889,1.390867811
098650,CENTRAL REGION,BUKIT MERAH,103.8156052,1.266332882
579800,CENTRAL REGION,BISHAN,103.8433152,1.3479926080000002
649811,WEST REGION,JURONG WEST,103.7180688,1.344374415
489929,EAST REGION,BEDOK,103.9513562,1.328473243
689049,WEST REGION,CHOA CHU KANG,103.7465631,1.378663056
529861,EAST REGION,TAMPINES,103.9580808,1.341695382
436927,CENTRAL REGION,KALLANG,103.871405,1.296749742
469976,EAST REGION,BEDOK,103.939334,1.31261384
529891,EAST REGION,TAMPINES,103.9515148,1.338974809
545075,NORTH EAST REGION,SENGKANG,103.8959975,1.391351119
587843,WEST REGION,BUKIT PANJANG,103.7740363,1.349174958
436923,CENTRAL REGION,KALLANG,103.8713699,1.295945779
579725,CENTRAL REGION,TOA PAYOH,103.8420461,1.341692433
529946,EAST REGION,TAMPINES,103.9581862,1.348019576
449032,EAST REGION,BEDOK,103.9212671,1.306929325
556743,NORTH EAST REGION,SERANGOON,103.8636583,1.351972851
289844,CENTRAL REGION,BUKIT TIMAH,103.8102548,1.33389914
548192,NORTH EAST REGION,HOUGANG,103.8836426,1.360098786
109258,CENTRAL REGION,BUKIT MERAH,103.8085143,1.272012388
